GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01036	50464357	77618	19.484	0.03	42.071188	-72.417718
01037	36534057	3961964	14.106	1.53	42.376036	-72.197364
01038	25871790	2249585	9.989	0.869	42.379925	-72.604045
01039	34227443	599296	13.215	0.231	42.404287	-72.688924
01040	54816657	4326347	21.165	1.67	42.211658	-72.642448
01050	99264992	2581156	38.326	0.997	42.286762	-72.869695
01053	13289902	251888	5.131	0.097	42.356301	-72.713584
01054	59026773	425598	22.79	0.164	42.468898	-72.484579
01056	70442550	2946276	27.198	1.138	42.183577	-72.457812
01057	116418495	1463139	44.949	0.565	42.093596	-72.321494
01060	28293564	3250677	10.924	1.255	42.321251	-72.630395
01062	47015771	396836	18.153	0.153	42.323033	-72.701789
01063	100502	0	0.039	0.	42.318882	-72.63853
01066	1842125	117510	0.711	0.045	42.406909	-72.655015
01068	53925831	1033076	20.821	0.399	42.350862	-72.044248
01069	72750828	750819	28.089	0.29	42.188862	-72.30648
01070	53343561	596478	20.596	0.23	42.518446	-72.919017
01071	40310831	813650	15.564	0.314	42.160064	-72.87384
01072	51998763	1350237	20.077	0.521	42.456968	-72.417244
01073	72915562	2082907	28.153	0.804	42.226949	-72.741588
01074	220264	52379	0.085	0.02	42.387603	-72.09323
01075	45886497	1773415	17.717	0.685	42.256532	-72.580248
01077	79831032	2140144	30.823	0.826	42.05257	-72.777353
01079	2913269	116786	1.125	0.045	42.194327	-72.328888
01080	4472227	256694	1.727	0.099	42.185727	-72.361558
01081	37594969	564877	14.515	0.218	42.061313	-72.234411
01082	119470120	16190608	46.128	6.251	42.299749	-72.279164
01083	40799384	156564	15.753	0.06	42.203642	-72.194599
01084	23799816	221546	9.189	0.086	42.39237	-72.882235
01085	154654218	2943651	59.712	1.137	42.153503	-72.771602
01086	96152	0	0.037	0.	42.130446	-72.793967
01088	13457381	36980	5.196	0.014	42.391709	-72.646494
01089	43321911	2081006	16.727	0.803	42.125451	-72.649734
01092	17375638	80681	6.709	0.031	42.191868	-72.235108
01093	13060370	16677	5.043	0.006	42.441943	-72.661817
01094	2957300	172820	1.142	0.067	42.359108	-72.1368
01095	58261406	757163	22.495	0.292	42.138527	-72.420703
01096	82011338	533919	31.665	0.206	42.397138	-72.763554
01097	4852535	208842	1.874	0.081	42.178038	-72.832612
01098	81230325	385282	31.363	0.149	42.394315	-72.943115
01103	1191846	205067	0.46	0.079	42.104106	-72.592027
01104	13509674	212849	5.216	0.082	42.134009	-72.565378
01105	3219039	306958	1.243	0.119	42.099958	-72.580765
01106	24016633	1343650	9.273	0.519	42.048054	-72.569275
01107	3903486	89142	1.507	0.034	42.12106	-72.607068
01108	9648068	406406	3.725	0.157	42.080692	-72.560791
01109	14096432	486419	5.443	0.188	42.119674	-72.549726
01118	9312232	260881	3.595	0.101	42.094587	-72.525219
01119	9194303	241735	3.55	0.093	42.124978	-72.51121
01128	2887381	1287	1.115	0.	42.092296	-72.489135
01129	8875271	237885	3.427	0.092	42.118671	-72.488203
01151	6135195	479251	2.369	0.185	42.15186	-72.509131
01199	28277	0	0.011	0.	42.120563	-72.604468
01201	137107236	6748010	52.937	2.605	42.448236	-73.273727
01220	63690789	189770	24.591	0.073	42.623808	-73.116741
01222	8566364	332862	3.307	0.129	42.058703	-73.322175
01223	180707010	5296463	69.771	2.045	42.312225	-73.110124
01224	720507	82246	0.278	0.032	42.513163	-73.195743
01225	65032903	1827514	25.109	0.706	42.563401	-73.153335
01226	68283556	366481	26.364	0.141	42.481119	-73.135073
01229	1899055	0	0.733	0.	42.277932	-73.332032
01230	237025976	4530266	91.516	1.749	42.173196	-73.32429
01235	118234579	2794601	45.651	1.079	42.425677	-73.063028
01236	12442180	157973	4.804	0.061	42.266496	-73.378393
01237	160145000	1132956	61.832	0.437	42.537932	-73.27167
01238	90220995	2706102	34.835	1.045	42.297501	-73.230148
01240	55367242	1155163	21.377	0.446	42.367858	-73.269763
01242	1289555	25168	0.498	0.01	42.333734	-73.249199
01243	48260334	57174	18.633	0.022	42.350122	-73.024112
01244	6345197	70886	2.45	0.027	42.118094	-73.257497
01245	72481256	2048210	27.985	0.791	42.186893	-73.223105
01247	136057274	1477071	52.532	0.57	42.698526	-73.0843
01253	47363359	1053732	18.287	0.407	42.206683	-73.113214
01254	37764323	148218	14.581	0.057	42.382019	-73.365492
01255	134158171	2980801	51.799	1.151	42.107496	-73.118607
01256	92861207	469863	35.854	0.181	42.594166	-73.02232
01257	93810159	2222469	36.22	0.858	42.085244	-73.367483
01258	66892284	399783	25.827	0.154	42.10928	-73.462886
01259	65561875	2041637	25.314	0.788	42.075469	-73.234376
01260	6503634	101867	2.511	0.039	42.295695	-73.342544
01262	31177103	2126240	12.038	0.821	42.292202	-73.319209
01264	29375249	90082	11.342	0.035	42.23159	-73.202428
01266	67475968	780826	26.053	0.301	42.312354	-73.388044
01267	141223300	327643	54.527	0.127	42.671617	-73.246981
01270	82502023	420999	31.854	0.163	42.515272	-73.031166
01301	66030223	1401115	25.494	0.541	42.626761	-72.60153
01330	86289946	631865	33.317	0.244	42.513947	-72.821517
01331	137853117	3588216	53.225	1.385	42.562394	-72.191044
01337	96461650	158968	37.244	0.061	42.689307	-72.582289
01338	8939558	12299	3.452	0.005	42.572488	-72.824145
01339	142261728	627967	54.928	0.242	42.603776	-72.889644
01340	113406095	668423	43.786	0.258	42.694731	-72.710956
01341	92502690	438366	35.715	0.169	42.492124	-72.709827
01342	46225210	2181781	17.848	0.842	42.543889	-72.609458
01343	12606820	94160	4.868	0.036	42.657625	-72.978933
01344	35252180	1378625	13.611	0.532	42.613418	-72.426428
01346	55312755	95459	21.356	0.037	42.693268	-72.823116
01347	1499173	216951	0.579	0.084	42.559294	-72.518753
01349	19913508	543842	7.689	0.21	42.563061	-72.482115
01350	27739754	308074	10.71	0.119	42.727772	-72.985346
01351	54182276	1126538	20.92	0.435	42.53988	-72.521689
01354	35664167	2668872	13.77	1.03	42.624101	-72.508607
01355	122669026	35753901	47.363	13.805	42.458551	-72.327191
01360	88740940	2814919	34.263	1.087	42.677091	-72.453876
01364	101542347	2917265	39.206	1.126	42.605437	-72.292074
01366	104578989	1454149	40.378	0.561	42.475621	-72.192468
01367	68713849	1765721	26.531	0.682	42.695532	-72.909148
01368	108363591	1835155	41.839	0.709	42.679456	-72.176935
01370	129040932	1434231	49.823	0.554	42.593376	-72.726928
01373	62598284	1472415	24.169	0.569	42.475481	-72.615403
01375	36831825	1345466	14.221	0.519	42.466691	-72.546751
01376	7137441	1482835	2.756	0.573	42.59528	-72.555002
01378	88126731	814990	34.026	0.315	42.673533	-72.353213
01379	78225204	969492	30.203	0.374	42.556308	-72.407153
01420	78509914	1793220	30.313	0.692	42.584925	-71.816862
01430	95695056	6792335	36.948	2.623	42.657005	-71.923442
01431	61290098	1000254	23.664	0.386	42.676293	-71.832523
01432	21939380	1211472	8.471	0.468	42.564663	-71.567298
01434	13669088	401234	5.278	0.155	42.539753	-71.61233
01436	24837996	512350	9.59	0.198	42.602059	-72.087015
01438	1403966	48433	0.542	0.019	42.562243	-72.031402
01440	62245169	2514727	24.033	0.971	42.588337	-71.986069
01450	84884837	2606944	32.774	1.007	42.611636	-71.564743
01451	49617973	1626301	19.158	0.628	42.501908	-71.568201
01452	106329263	2404684	41.054	0.928	42.495111	-72.002339
01453	73757607	1360201	28.478	0.525	42.519967	-71.763319
01460	42775113	2573791	16.516	0.994	42.535931	-71.490569
01462	68344667	3516270	26.388	1.358	42.582607	-71.720464
01463	58485762	1531789	22.581	0.591	42.670643	-71.602858
01464	38791621	204574	14.978	0.079	42.573654	-71.640986
01467	4891512	34601	1.889	0.013	42.489495	-71.609346
01468	55435850	697085	21.404	0.269	42.542767	-72.068345
01469	59006708	587943	22.783	0.227	42.664794	-71.695055
01473	91788664	4700075	35.44	1.815	42.5546	-71.90544
01474	25720067	78185	9.931	0.03	42.669685	-71.752751
01475	110974651	2713665	42.848	1.048	42.66816	-72.055644
01501	40042635	2404899	15.461	0.929	42.198867	-71.845722
01503	33602274	521374	12.974	0.201	42.384929	-71.633889
01504	28774248	825566	11.11	0.319	42.039991	-71.532406
01505	41588110	9556292	16.057	3.69	42.355049	-71.716157
01506	40215088	2735962	15.527	1.056	42.180807	-72.107888
01507	109244211	4178898	42.179	1.613	42.133935	-71.968025
01510	14642435	4176666	5.653	1.613	42.411887	-71.690005
01515	25548737	1449315	9.864	0.56	42.209682	-72.040178
01516	95233296	4020462	36.77	1.552	42.053072	-71.752241
01518	23006297	1928708	8.883	0.745	42.127477	-72.118818
01519	28272672	279340	10.916	0.108	42.203404	-71.679739
01520	46822228	1802446	18.078	0.696	42.336385	-71.850759
01521	31821358	1990947	12.286	0.769	42.046783	-72.180212
01522	42423771	1400937	16.38	0.541	42.375634	-71.867382
01523	65273333	1166195	25.202	0.45	42.483569	-71.675585
01524	41394105	2490237	15.982	0.961	42.249635	-71.919196
01525	1162429	81164	0.449	0.031	42.106794	-71.630518
01527	40346588	1862028	15.578	0.719	42.192246	-71.777649
01529	12596930	143333	4.864	0.055	42.036642	-71.578779
01531	53773239	403233	20.762	0.156	42.326183	-72.133431
01532	47840783	705398	18.471	0.272	42.323342	-71.646236
